A;B;C;D
Credit Memo #%1 | %3 | %2 (%4);Novčani podsetnik broj #%1 | %3 | %2 (%4);module;Magento_Sales
Total Refund;Ukupan povrat;module;Magento_Sales
New Invoice and Shipment for Order #%1;Novi račun i dostava za narudžbinu broj #%1;module;Magento_Sales
New Invoice for Order #%1;Novi račun za narudžbinu broj #%1;module;Magento_Sales
Submit Invoice and Shipment;Pošaljite račun i pošiljku;module;Magento_Sales
Submit Invoice;Pošaljite račun;module;Magento_Sales
Are you sure you want to send an invoice email to customer?;Jeste li sigurnu da želite poslati račun korisniku?;module;Magento_Sales
Credit Memo;Novčani zapis;module;Magento_Sales
Capture;Zabeleženo;module;Magento_Sales
The invoice email was sent.;e-mail s računom je poslat.;module;Magento_Sales
The invoice email wasn't sent.;e-mail s računom nije poslat.;module;Magento_Sales
Invoice #%1 | %2 | %4 (%3);Račun broj #%1 | %2 | %4 (%3);module;Magento_Sales
Invalid parent block for this block;Nad blok za ovaj blok nije valjan;module;Magento_Sales
Order Statuses;Statusi naloga;module;Magento_Sales
Create New Status;Stvorite novi status;module;Magento_Sales
Assign Status to State;Priložite status za regiju;module;Magento_Sales
Save Status Assignment;Spremite dodelu statusa;module;Magento_Sales
Assign Order Status to State;Dodelite status narudžbine za oblast;module;Magento_Sales
Assignment Information;Raspored informacija;module;Magento_Sales
Order Status;Status narudžbine;module;Magento_Sales
Order State;Regionalne narudžbine;module;Magento_Sales
Use Order Status As Default;Koristite status narudžbine kao zadato;module;Magento_Sales
Visible On Storefront;Vidljivo na naslovnoj;module;Magento_Sales
Edit Order Status;Uredi status narudžbine;module;Magento_Sales
Save Status;Spremite status;module;Magento_Sales
New Order Status;Novi status narudžbine;module;Magento_Sales
Order Status Information;Podaci o statusu narudžbine;module;Magento_Sales
Status Code;Status koda;module;Magento_Sales
Status Label;Status oznake;module;Magento_Sales
Store View Specific Labels;Oznake za naslovnu prodavnice;module;Magento_Sales
Total Paid;Ukupno plaćeno;module;Magento_Sales
Total Refunded;Ukupno vraćeno;module;Magento_Sales
Total Due;Ukupni trošak;module;Magento_Sales
Edit;Uređivanje;module;Magento_Sales
Are you sure you want to send an order email to customer?;Jeste li sigurni da želite poslati e-mail o narudžbini kupcu?;module;Magento_Sales
This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?;Kreiraće se izvanmrežni povrat novca. Kako biste kreirali mrežni povrat, u računu kreirajte novčani zapis. Želite li nastaviti?;module;Magento_Sales
Are you sure you want to void the payment?;Jeste li sigurni da želite poništiti naplatu?;module;Magento_Sales
Hold;Zadržite;module;Magento_Sales
hold;zadržite;module;Magento_Sales
Unhold;Nastavite;module;Magento_Sales
unhold;nastavite;module;Magento_Sales
Are you sure you want to accept this payment?;Jeste li sigurni da prihvatate naplatu?;module;Magento_Sales
Accept Payment;Prihvatite naplatu;module;Magento_Sales
Are you sure you want to deny this payment?;Jeste li sigurni da želite odbiti naplatu?;module;Magento_Sales
Deny Payment;Odbijte naplatu.;module;Magento_Sales
Get Payment Update;Preuzmi ažuriranje plaćanja;module;Magento_Sales
Invoice and Ship;Fakturišite i pošaljite;module;Magento_Sales
Invoice;Račun;module;Magento_Sales
Ship;Pošaljite;module;Magento_Sales
Reorder;Ponovno naručite;module;Magento_Sales
Order # %1 %2 | %3;Narudžbina # %1 %2 | %3;module;Magento_Sales
This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.;Narudžbina se sastoji od (%1) proizvoda, te se stoga ne može uređivati kroz administratorski izgled. Ukoliko želite nastaviti sa uređivanjem, proizvodi (%2) će biti uklonjeni, narudžbina će se otkazati i biti će kreirana nova.;module;Magento_Sales
Are you sure? This order will be canceled and a new one will be created instead.;Jeste li sigurni? Narudžbina će se otkazati i biti će kreirana nova.;module;Magento_Sales
Save Gift Message;Spremite poruku o poklonu;module;Magento_Sales
[deleted];[uklonjeno];module;Magento_Sales
Order Credit Memos;Novčani zapis o narudžbini;module;Magento_Sales
Credit memo #%1 created;Kreirani #%1 novčani zapisi;module;Magento_Sales
Credit memo #%1 comment added;Dodani komentari novčanog zapisa  #%1;module;Magento_Sales
Shipment #%1 created;Stvorena je narudžba broj #%1;module;Magento_Sales
Shipment #%1 comment added;Dodat je komentar narudžbini broj #%1;module;Magento_Sales
Invoice #%1 created;Račun broj #%1 je kreiran;module;Magento_Sales
Invoice #%1 comment added;Komentar je dodat na račun broj #%1;module;Magento_Sales
Tracking number %1 for %2 assigned;Broj za praćenje %1 za %2 je dodijeljen;module;Magento_Sales
Comments History;Istorija komentara;module;Magento_Sales
Order History;Istorija narudžbine;module;Magento_Sales
Information;Informacije;module;Magento_Sales
Order Information;Informacije narudžbine;module;Magento_Sales
Order Invoices;Račun narudžbine;module;Magento_Sales
Shipments;Pošiljke;module;Magento_Sales
Order Shipments;Pošiljke narudžbine;module;Magento_Sales
Transactions;Transakcije;module;Magento_Sales
Order View;Pregled narudžbine;module;Magento_Sales
Any;Bilo koja;module;Magento_Sales
Specified;Određeno;module;Magento_Sales
Applies to Any of the Specified Order Statuses except canceled orders;Primjenjivo na sve sprecifične statuse narudžbine osim otkazanih narudžbina;module;Magento_Sales
Cart Price Rule;Pravilo cene korpe;module;Magento_Sales
Yes;Da;module;Magento_Sales
No;Ne;module;Magento_Sales
Show Actual Values;Prikaži stvarnu vrednost;module;Magento_Sales
New Order RSS;Nova narudžbina RSS;module;Magento_Sales
Subtotal;Ukupno;module;Magento_Sales
Shipping & Handling;Dostava i rukovanje;module;Magento_Sales
Discount (%1);Popust (%1);module;Magento_Sales
Discount;Popust;module;Magento_Sales
Grand Total;Ukupan zbir;module;Magento_Sales
Back;Nazad;module;Magento_Sales
Fetch;Uhvatite;module;Magento_Sales
Transaction # %1 | %2;Transakcija broj # %1 | %2;module;Magento_Sales
N/A;N/A;module;Magento_Sales
Key;Ključ;module;Magento_Sales
Value;vrednost;module;Magento_Sales
We found an invalid entity model.;Pronašli smo model subjekta koji nije valjan.;module;Magento_Sales
Order # %1;Narudžbina broj # %1;module;Magento_Sales
Back to My Orders;Nazad na moje narudžbine;module;Magento_Sales
View Another Order;Pregledajte drugu narudžbinu;module;Magento_Sales
About Your Refund;O Vašem povratu;module;Magento_Sales
My Orders;Moje narudžbine;module;Magento_Sales
Subscribe to Order Status;Pretpišite se na status narudžbine;module;Magento_Sales
About Your Invoice;O Vašem računu;module;Magento_Sales
Print Order # %1;Odštampajte narudžbinu broj # %1;module;Magento_Sales
Grand Total to be Charged;Ukupna količina koja će biti naplaćena;module;Magento_Sales
Unassign;Nedodijeljeno;module;Magento_Sales
We can't add this item to your shopping cart right now.;Trenutno nismo u mogućnosti dodati ovaj proizvod u Vašu korpu za kupovinu.;module;Magento_Sales
You sent the message.;Poslali ste poruku;module;Magento_Sales
Sales;Prodaja;module;Magento_Sales
Invoice capturing error;Račun beleži greške;module;Magento_Sales
This order no longer exists.;Ova narudžbina više ne postoji.;module;Magento_Sales
Please enter a comment.;Molimo unesite komentar.;module;Magento_Sales
We cannot add order history.;Nismo u mogućnosti dodati istoriju narudžbine.;module;Magento_Sales
You updated the order address.;Ažurirali ste adrešu narudžbine.;module;Magento_Sales
We can't update the order address right now.;Trenutno nismo u mogućnosti ažurirati adresu narudžbine.;module;Magento_Sales
You have not canceled the item.;Niste otkazali proizvod.;module;Magento_Sales
You canceled the order.;Otkazali ste proizvod.;module;Magento_Sales
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)";"""%1"" kupon kod nije primenjen. Ne primenjivi popust je odabran za proizvod/e.";module;Magento_Sales
"""%1"" coupon code is not valid.";"""%1"" kupon kod nije valjan.";module;Magento_Sales
The coupon code has been accepted.;Kupon kod je prihvaćen.;module;Magento_Sales
Quote item id is not received.;Navedeni proizvod nije primljen.;module;Magento_Sales
Quote item is not loaded.;Navedeni proizvod nije učitan.;module;Magento_Sales
New Order;Nova narudžbina;module;Magento_Sales
You created the order.;Stvorili ste narudžbinu;module;Magento_Sales
Order saving error: %1;Greška spremanja narudžbine: %1;module;Magento_Sales
Cannot add new comment.;Nije moguće dodati novi komentar.;module;Magento_Sales
The credit memo has been canceled.;Novčani zapis je otkazan.;module;Magento_Sales
Credit memo has not been canceled.;Novčani zapis nije otkazan.;module;Magento_Sales
New Memo for #%1;Novi zapis za broj #%1;module;Magento_Sales
New Memo;Novi zapis za broj #%1;module;Magento_Sales
The credit memo's total must be positive.;Novčani zapis mora biti pozitivan.;module;Magento_Sales
Cannot create online refund for Refund to Store Credit.;Ne možete kreirati online povrat za povrat virtualnog novca.;module;Magento_Sales
You created the credit memo.;Kreirali ste novčani zapisnik.;module;Magento_Sales
We can't save the credit memo right now.;Ne možemo spremiti novčani zapisnik.;module;Magento_Sales
We can't update the item's quantity right now.;Ne možemo ažurirati količinu proizvoda.;module;Magento_Sales
View Memo for #%1;Pogledajte zapisnik za #%1;module;Magento_Sales
View Memo;Pregledajte zapisnik;module;Magento_Sales
You voided the credit memo.;Poništili ste novčani zapisnik.;module;Magento_Sales
We can't void the credit memo.;Ne možemo poništiti novčani zapisnik.;module;Magento_Sales
The order no longer exists.;Redosled više ne postoji.;module;Magento_Sales
We can't create credit memo for the order.;Ne možemo kreirati novčani zapisnik za narudžbinu.;module;Magento_Sales
Edit Order;Uredi narudžbinu;module;Magento_Sales
You sent the order email.;Poslali ste e-mail narudžbine.;module;Magento_Sales
We can't send the email order right now.;Ne možemo poslati e-mail narudžbinu.;module;Magento_Sales
You have not put the order on hold.;Niste postavili narudžbinu na čekanje.;module;Magento_Sales
You put the order on hold.;Postavili ste narudžbinu na čekanje.;module;Magento_Sales
You canceled the invoice.;Otkazali ste račun.;module;Magento_Sales
Invoice canceling error;greška otkazivanja računa;module;Magento_Sales
The invoice has been captured.;Račun je usvojen.;module;Magento_Sales
The order does not allow an invoice to be created.;Narudžbina ne dopušta kreiranje računa.;module;Magento_Sales
You can't create an invoice without products.;Ne možete kreirati račun bez proizvoda.;module;Magento_Sales
New Invoice;Novi račun;module;Magento_Sales
We can't save the invoice right now.;Ne možemo spremiti račun.;module;Magento_Sales
The invoice and the shipment  have been created. The shipping label cannot be created now.;Kreirani su račun i pošiljka. Oznaka dostave ne može biti kreirana.;module;Magento_Sales
You created the invoice and shipment.;Kreirali ste račun i pošiljku.;module;Magento_Sales
The invoice has been created.;Kreiran je račun.;module;Magento_Sales
We can't send the invoice email right now.;Ne možemo poslati e-mail računa.;module;Magento_Sales
We can't send the shipment right now.;Ne možemo poslati pošiljku.;module;Magento_Sales
Cannot update item quantity.;Nemoguće ažurirati količinu proizvoda.;module;Magento_Sales
The invoice has been voided.;Račun je poništen.;module;Magento_Sales
Invoice voiding error;greška poništavanja računa;module;Magento_Sales
%1 order(s) cannot be canceled.;%1 narudžbina/e ne može biti otkazana.;module;Magento_Sales
You cannot cancel the order(s).;Ne možete otkazati narudžbinu/e.;module;Magento_Sales
We canceled %1 order(s).;Otkazali smo %1 narudžbinu/e.;module;Magento_Sales
%1 order(s) were not put on hold.;%1 narudžbina/e nisu postavljene na čekanje.;module;Magento_Sales
No order(s) were put on hold.;Nijedna narudžbina/e nije postavljena na čekanje.;module;Magento_Sales
You have put %1 order(s) on hold.;Postavili ste %1 narudžbinu/e na čekanje.;module;Magento_Sales
%1 order(s) were not released from on hold status.;%1 narudžbina/e nije otpuštena od statusa na čekanju.;module;Magento_Sales
No order(s) were released from on hold status.;Nijedna narudžbina/e nije otpuštena od statusa na čekanju.;module;Magento_Sales
%1 order(s) have been released from on hold status.;%1 nije otpuštena od statusa na čekanju.;module;Magento_Sales
There are no printable documents related to selected orders.;Nema ispisa dokumenata  povezanih s odabranim narudžbama.;module;Magento_Sales
The payment has been accepted.;Plaćanje je prihvaćeno.;module;Magento_Sales
The payment has been denied.;Plaćanje je odbijeno.;module;Magento_Sales
Transaction has been approved.;Transakcija je odobrena.;module;Magento_Sales
Transaction has been voided/declined.;Transakcija je poništena/odbijena.;module;Magento_Sales
There is no update for the transaction.;Nema ažuriranja za transakciju.;module;Magento_Sales
We can't update the payment right now.;Ne možemo ažurirati plaćanje.;module;Magento_Sales
You assigned the order status.;Dodelili ste status narudžbine.;module;Magento_Sales
Something went wrong while assigning the order status.;Došlo je do greške prilikom dodijeljivana statusa narudžbini.;module;Magento_Sales
We can't find this order status.;Ne možemo pronaći status narudžbine.;module;Magento_Sales
Create New Order Status;Kreirajte novi status narudžbine;module;Magento_Sales
We found another order status with the same order status code.;Pronašli smo drugi status narudžbine sa istim kodom statusa narudžbine.;module;Magento_Sales
You saved the order status.;Spremili ste status narudžbine.;module;Magento_Sales
We can't add the order status right now.;Ne možemo dodati status narudžbine.;module;Magento_Sales
You have unassigned the order status.;Poništili ste status narudžbine.;module;Magento_Sales
